denominacion;sigla;domicilio;telefono
OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION                                                                                                                                                             ;OSPECON           ;AVDA. BELGRANO 1862/70                            ;salud@uocra.org
OBRA SOCIAL DE MAQUINISTAS DE TEATRO Y TELEVISION                                                                                                                                                       ;                  ;AVDA CORRIENTES 1642 PISO 1 OFICINA 21            ;osmtt@osmtt.org.ar
OBRA SOCIAL DE RELOJEROS Y JOYEROS                                                                                                                                                                      ;OSRJA             ;VALENTIN GOMEZ 3828                               ;"facturacion5@osrja.org.ar"""
OBRA SOCIAL MODELOS ARGENTINOS                                                                                                                                                                          ;OSMA              ;AVDA CORRIENTES 1622 PISO 1 DTO A                 ;osmodelos@fibertel.com.ar
OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO SAN MARTIN                                                                                                                                              ;OSPA              ;ISLAS MALVINAS S/N - BARRIO PATRON COSTAS         ;ospasalta102300@gmail.com
OBRA SOCIAL DE CONDUCTORES NAVALES                                                                                                                                                                      ;OSCONARA          ;PINZON 281                                        ;info@siconara.com.ar
OBRA SOCIAL DEL PERSONAL DE OBRAS Y SERVICIOS SANITARIOS                                                                                                                                                ;OSOSS             ;AVELLANEDA  212 PISO 3                            ;presidencia@ososs.com.ar
OBRA SOCIAL PARA PILOTOS DE LINEAS AEREAS COMERCIALES Y REGULARES                                                                                                                                       ;OSPLA             ;LEZICA 4047                                       ;ospla@ospla.org.ar
OBRA SOCIAL DE TRABAJADORES DE PRENSA DE BUENOS AIRES                                                                                                                                                   ;OSTPBA            ;PTE J.D. PERON 1173                               ;raulbarr22@hotmail.com
OBRA SOCIAL DE PORTUARIOS ARGENTINOS                                                                                                                                                                    ;OSPA              ;BOLIVAR 839                                       ;ospabue@infovia.com.ar
OBRA SOCIAL DE CAPATACES  ESTIBADORES PORTUARIOS                                                                                                                                                        ;OSCEP             ;PINZON 1012/1016                                  ;oscep@fideisalud.com.ar
OBRA SOCIAL ELECTRICISTAS NAVALES                                                                                                                                                                       ;OSEN              ;AVDA JUAN DE GARAY 1900                           ;info@osensalud.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL HIELO Y MERCADOS PARTICULARES                                                                                                                              ;OSPIHMP           ;COLOMBRES 1573   (SINDICATO)                      ;auditoria@ospihmp.org.ar
OBRA SOCIAL DE LA FEDERACION GREMIAL DEL PERSONAL DE  LA INDUSTRIA DE LA CARNE Y SUS DERIVADOS                                                                                                          ;                  ;HIPOLITO YRIGOYEN 746                             ;
OBRA SOCIAL DEL PERSONAL DE LOS HIPODROMOS DE BUENOS AIRES Y SAN ISIDRO                                                                                                                                 ;OSPHGBAYSI        ;PICO 1671/75 PISO 5 DTO A                         ;"osshipo.com.ar ;"
OBRA SOCIAL DEL PERSONAL DE LAS TELECOMUNICACIONES DE LA REPUBLICA ARGENTINA                                                                                                                            ;OSTEL             ;AVDA JUAN DE GARAY 2569                           ;compras@ostel.org
OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES                                                                                                                                                 ;OSPACP            ;CHARCAS 2745                                      ;info@ospacp.org.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA BOTONERA                                                                                                                                                       ;OSPIB             ;CALLE 91 N# 1886                                  ;
OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, PIZZEROS , HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGENTINA                                                                                          ;OSTPCHPYARA       ;BOGADO 4541                                       ;fatpchpya@infovia.com.ar
OBRA SOCIAL DE TECNICOS DE FUTBOL                                                                                                                                                                       ;OSTECF            ;VIAMONTE 1328   PB  PISO 1                        ;
OBRA SOCIAL DEL PERSONAL DE MAESTRANZA                                                                                                                                                                  ;OSPM              ;ALZAGA 2271                                       ;s-o-m@satlink.com
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA                                                                                                                                                       ;OSPIM             ;AV. SAN JUAN 2670/72                              ;info@ospim.org.ar
OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA CIUDAD AUTONOMA DE BUENOS AIRES  Y GRAN BUENOS AIRES                                                                                  ;OSPERYH           ;SARMIENTO 2026                                    ;legales@osperyh.org.ar
OBRA SOCIAL DE FUTBOLISTAS                                                                                                                                                                              ;FAA               ;SALTA 1144                                        ;agremiados@infovia.com.ar
OBRA SOCIAL DE LOS TRABAJADORES DE LAS EMPRESAS DE ELECTRICIDAD                                                                                                                                         ;OSTEE             ;HUMBERTO 1º   434                                 ;obrasocial@osteeluzmedica.com.ar
OBRA SOCIAL DEL PERSONAL DE CEMENTERIOS DE LA REPUBLICA ARGENTINA.                                                                                                                                      ;OSPCRA            ;FEDERICO LACROZE 3908                             ;info@ospcra.org
OBRA SOCIAL DE OPERADORES CINEMATOGRAFICOS                                                                                                                                                              ;OSOC              ;VIAMONTE 2045                                     ;
OBRA SOCIAL PORTUARIOS  PUERTO SAN MARTIN Y BELLA VISTA                                                                                                                                                 ;                  ;CAYETANO NERBUTTI 256                             ;contacto@osportuarios.com.ar
OBRA SOCIAL  DE LA UNION  DE TRABAJADORES  DEL TURISMO, HOTELEROS Y GASTRONOMICOS DE LA REPUBLICA  ARGENTINA                                                                                            ;OSUTHGRA          ;AVDA. DE MAYO 930                                 ;info@uthgra.org.ar
OBRA SOCIAL DE JEFES Y OFICIALES MAQUINISTAS NAVALES                                                                                                                                                    ;OSJOMN            ;LIBERTAD 1668                                     ;infoobrasocial@osjomn.com.ar
OBRA SOCIAL DE TRABAJADORES DE ESTACIONES DE SERVICIO                                                                                                                                                   ;OSTES             ;BANDERA DE LOS ANDES 239                          ;
OBRA SOCIAL DEL PERSONAL DE DRAGADO Y BALIZAMIENTO                                                                                                                                                      ;OSPEDYB           ;CALLE PIEDRAS 1693/95                             ;info@ospedyb.com.ar
OBRA SOCIAL DEL PERSONAL DE REFINERIAS DE MAIZ                                                                                                                                                          ;                  ;ANCHORENA 1429                                    ;Osprem@arnetbiz.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LADRILLERA A MAQUINA                                                                                                                                           ;OSPILM            ;25 DE MAYO 1724 E/ LINCOLN Y JUAREZ (79 1724 E 46/;institucional@ospilm.org.ar
OBRA SOCIAL DE ARBITROS DEPORTIVOS DE LA REPUBLICA ARGENTINA                                                                                                                                            ;OSADRA            ;VIAMONTE 1835                                     ;javier.marconi@gmail.com /j.marconi@osad
OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA REPUBLICA ARGENTINA                                                                                                                   ;OSPERYHRA         ;SARMIENTO 2026                                    ;osperyh@osperyh.org.ar
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF                                                                                                                                                       ;OSPAT             ;JUANA MANSO 1750, SECTOR B, PISO 3, UNIDAD 2/3    ;
OBRA SOCIAL DE LA ASOCIACION DEL PERSONAL SUPERIOR DE LA EMPRESA PROVINCIAL DE ENERGIA DE CORDOBA                                                                                                       ;O.S.A.P.S.E       ;RIVADEO Nº 1231                                   ;
OBRA SOCIAL DEL PERSONAL DE PRENSA DE BAHIA BLANCA                                                                                                                                                      ;                  ;LAMADRID 266                                      ;prensabblanca@bvconline.com.ar
OBRA SOCIAL DEL PERSONAL DE LA ENSEÑANZA PRIVADA                                                                                                                                                        ;OSPEP             ;AV. JUJUY 226                                     ;info@ospepweb.com.ar
OBRA SOCIAL DEL PERSONAL MENSUALIZADO DEL JOCKEY CLUB DE BUENOS AIRES Y LOS HIPODROMOS DE PALERMO Y SAN ISIDRO                                                                                          ;                  ;AVDA. CABILDO 4193                                ;
OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LA ESPERANZA                                                                                                                                            ;OSPA              ;SERAPIO SORIA 337                                 ;ospalaesperanzajujuy@gmail.com
OBRA SOCIAL DE LA FEDERACION ARGENTINA DE TRABAJADORES DE LUZ Y FUERZA                                                                                                                                  ;OSFATLYF          ;LIMA 163 4° PISO                                  ;bettinottir@osfatlyf_salud.com.ar
OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO Y G.N.C, GARAGES, PLAYAS DE ESTACIONAMIENTO Y LAVADEROS AUTOMATICOS                                                                                  ;OSPESGYPE         ;HIPOLITO YRIGOYEN 2727                            ;
OBRA SOCIAL DEL PERSONAL DE FARMACIA                                                                                                                                                                    ;OSPF              ;CONSTITUCION 2066                                 ;privada@ospf.org.ar
OBRA SOCIAL DEL PERSONAL LADRILLERO                                                                                                                                                                     ;OSPL              ;HIPOLITO IRIGOYEN 1534 3º PISO                    ;secretariamedica@o-s-p-l.org
OBRA SOCIAL ASOCIACION PROFESIONAL DE CAPITANES Y BAQUEANOS FLUVIALES Y PERSONAL CON  CONOCIMIENTO DE ZONA DE LA MARINA MERCANTE                                                                        ;OSCAPBAQFLU       ;ARISTOBULO DEL VALLE 319                          ;
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LECHERA                                                                                                                                                        ;OSPIL             ;AVDA. HIPOLITO YRIGOYEN 4054                      ;obrasocial@atilra.org.ar
OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y CIVILES                                                                                                                                              ;OSPEDYC           ;ALBERTI 646                                       ;ospedyc@infovia.com
OBRA SOCIAL DE MANDOS MEDIOS DE TELECOMUNICACIONES EN LA REPUBLICA ARGENTINA Y MERCOSUR                                                                                                                 ;OSMMEDT           ;URIARTE 1317                                      ;info@osmmedt.com.ar
OBRA SOCIAL DEL PERSONAL DEL CAUCHO                                                                                                                                                                     ;OSPECA            ;VALLE 1281                                        ;ospeca@fibertel.com.ar
OBRA SOCIAL DEL PERSONAL GRAFICO                                                                                                                                                                        ;OSPG              ;AVDA. BELGRANO 2530                               ;legales@ospg.org.ar
OBRA SOCIAL PARA LOS TRABAJADORES DE LA EDUCACION PRIVADA                                                                                                                                               ;OSTEP             ;SALTA 534                                         ;info@ostep.com.ar
OBRA SOCIAL DEL PERSONAL DE SOCIEDADES DE AUTORES Y AFINES                                                                                                                                              ;OSPESA            ;MONTEVIDEO 453  (DOMICILIO PROVISORIO)            ;auditoria@ospesa.com.ar
OBRA SOCIAL DE LUZ Y FUERZA DE LA PATAGONIA                                                                                                                                                             ;OSLYF PATAGONIA   ;BALDOMERO CARRASCO Nº 60                          ;info@generarsalud.com.ar
OBRA SOCIAL DE AERONAVEGANTES                                                                                                                                                                           ;OSA               ;BARTOLOME MITRE 1902 - PB                         ;osa@aeronavegantes.com
OBRA SOCIAL DEL PERSONAL DE CONSIGNATARIOS DEL MERCADO NACIONAL DE HACIENDA DE LINIERS                                                                                                                  ;OSPEMER           ;LISANDRO DE LA TORRE 2337/9                       ;
OBRA SOCIAL DE OBREROS Y EMPLEADOS TINTOREROS SOMBREREROS Y LAVADEROS DE LA REPUBLICA ARGENTINA                                                                                                         ;OSOETSYLARA       ;CULPINA 25/29                                     ;
OBRA SOCIAL DE DOCENTES PARTICULARES                                                                                                                                                                    ;OSDOP             ;BARTOLOME MITRE 2233                              ;
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO                                                                                                                                                     ;OSPIC             ;CONGRESO 2033                                     ;info@ospic-caucho.org.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DE LA ALIMENTACION                                                                                                                                             ;OSPIA             ;VENEZUELA 1326                                    ;ospiacentral@ospia.org.ar
